MAWB,Carrier_Code,Departure_Year_Month,Export_Main_Office_Company,Export_Main_Office_Branch,Carrier_Service_Level,Trade_Lane_A2A,Departure_Airport_Location,Destination_Airport_Location,Service_Type,Vertical,Commodity,Interline_Shipment,Chargeable_Weight,Handling_Notes
MAWB108352,EK,2025-02,NL,NLAMS,PRM,AMS-ICN,AMS,ICN,GEN,Retail,Footwear,Y,4269.6,
MAWB108353,UA,2025-12,SG,SGSIN,PRM,SIN-CDG,SIN,CDG,DGR,Perishables,Fish,Y,2764.6,Shipment moved as planned
MAWB108354,DL,2025-07,FR,FRCDG,PRM,CDG-PVG,CDG,PVG,EXP,Automotive,Car Parts,Y,1026.7,Shipment moved as planned
MAWB108355,LH,2025-09,NL,NLAMS,XPS,AMS-DEL,AMS,DEL,DGR,Automotive,Gearboxes,N,1620.4,
MAWB108356,CX,2025-10,GB,GBBRS,XPS,BRS-AMS,BRS,AMS,EXP,Aerospace,Avionics,N,1445.6,Customs hold at destination - awaiting clearance
MAWB108357,AF,2025-04,GB,GBBRS,PRM,BRS-MEX,BRS,MEX,EXP,Retail,Homeware,N,2677.8,Dangerous goods paperwork incorrect
MAWB108358,SQ,2025-01,GB,GBMAN,DGR,MAN-MEX,MAN,MEX,GEN,Perishables,Vegetables,N,305.8,
MAWB108359,SQ,2025-11,DE,DEFRA,ECO,FRA-DEL,FRA,DEL,EXP,Perishables,Flowers,Y,834.8,
MAWB108360,UA,2025-01,SG,SGSIN,DIM,SIN-ORD,SIN,ORD,EXP,Perishables,Fish,Y,4072.8,No issues reported
MAWB108361,CX,2025-06,SG,SGSIN,DIM,SIN-MEX,SIN,MEX,DGR,Aerospace,Maintenance Kits,Y,706.4,Customs hold at destination - awaiting clearance
MAWB108362,AF,2025-11,AE,AEDXB,PRM,DXB-MEX,DXB,MEX,EXP,Automotive,Tyres,N,1205.3,
MAWB108363,UA,2025-09,NL,NLAMS,DIM,AMS-BKK,AMS,BKK,EXP,Aerospace,Turbine Components,Y,2294.2,Standard handling completed
MAWB108364,AF,2025-07,FR,FRCDG,ECO,CDG-DEL,CDG,DEL,DGR,Aerospace,Maintenance Kits,N,2609.7,No issues reported
MAWB108365,SQ,2025-11,DE,DEFRA,DGR,FRA-JNB,FRA,JNB,GEN,Aerospace,Turbine Components,N,3829.9,Standard handling completed
MAWB108366,LH,2025-03,DE,DEFRA,XPS,FRA-LHR,FRA,LHR,DGR,Perishables,Fruit,Y,2264.3,Dangerous goods paperwork incorrect
MAWB108367,SQ,2025-12,FR,FRCDG,DIM,CDG-LAX,CDG,LAX,GEN,Automotive,Gearboxes,Y,3959.8,Shipment processed normally
MAWB108368,AF,2025-05,GB,GBBHX,ECO,BHX-ORD,BHX,ORD,DGR,Perishables,Fish,Y,3110.8,Minor damage to outer packaging noted on arrival
MAWB108369,CX,2025-07,NL,NLAMS,PRM,AMS-JFK,AMS,JFK,EXP,Pharma,Laboratory Samples,Y,609.8,Shipment moved as planned
MAWB108370,DL,2025-02,GB,GBBRS,DGR,BRS-JFK,BRS,JFK,GEN,Retail,Homeware,N,823.8,
MAWB108371,SQ,2025-08,NL,NLAMS,ECO,AMS-JFK,AMS,JFK,GEN,Retail,Clothing,Y,2213.3,Standard handling completed
MAWB108372,DL,2025-06,FR,FRCDG,GEN,CDG-PVG,CDG,PVG,GEN,Perishables,Fish,N,2014.6,Shipment processed normally
MAWB108373,BA,2025-10,FR,FRCDG,ECO,CDG-LHR,CDG,LHR,GEN,Pharma,Insulin,Y,3730.5,No issues reported
MAWB108374,EK,2025-08,NL,NLAMS,DIM,AMS-NRT,AMS,NRT,EXP,Retail,Clothing,N,2924.6,Security screening issue / additional xray required
MAWB108375,CX,2025-11,GB,GBLHR,XPS,LHR-FRA,LHR,FRA,GEN,Pharma,Medical Devices,Y,1971.3,
MAWB108376,EK,2025-02,GB,GBMAN,GEN,MAN-HKG,MAN,HKG,GEN,Aerospace,Aircraft Parts,N,895.3,Shipment processed normally
MAWB108377,DL,2025-03,NL,NLAMS,XPS,AMS-LHR,AMS,LHR,GEN,Retail,Consumer Electronics,Y,1172.8,Import customs inspection triggered - consumer electronics under review
MAWB108378,SQ,2025-02,GB,GBLHR,PRM,LHR-ORD,LHR,ORD,EXP,Perishables,Fruit,N,2898.7,Shipment moved as planned
MAWB108379,EK,2025-09,AE,AEDXB,PRM,DXB-DEL,DXB,DEL,GEN,Perishables,Fruit,N,2146,
MAWB108380,AF,2025-12,GB,GBBHX,XPS,BHX-GRU,BHX,GRU,GEN,Automotive,Gearboxes,Y,2598.9,OEM supplier delivered gearboxes late - missed acceptance cut-off
MAWB108381,BA,2025-11,GB,GBBHX,GEN,BHX-NRT,BHX,NRT,GEN,Automotive,Tyres,N,894.9,Shipment processed normally
MAWB108382,SQ,2025-12,GB,GBBHX,GEN,BHX-ICN,BHX,ICN,GEN,Perishables,Fish,Y,3331.4,No issues reported
MAWB108383,AF,2025-07,GB,GBBHX,DGR,BHX-AMS,BHX,AMS,EXP,Aerospace,Turbine Components,Y,4270.1,No issues reported
MAWB108384,AF,2025-07,NL,NLAMS,DIM,AMS-JFK,AMS,JFK,GEN,Automotive,Tyres,Y,1326.8,Temperature excursion reported for pharma cargo
MAWB108385,DL,2025-04,DE,DEFRA,ECO,FRA-ORD,FRA,ORD,GEN,Retail,Clothing,Y,2483,
MAWB108386,EK,2025-01,GB,GBMAN,DGR,MAN-BKK,MAN,BKK,DGR,Perishables,Fruit,Y,4878.9,Late cargo from fruit packer - shelf-life impacted by acceptance delay
MAWB108387,AF,2025-02,US,USATL,DGR,ATL-JNB,ATL,JNB,DGR,Retail,Homeware,N,1699.5,Shipment moved as planned
MAWB108388,LH,2025-01,GB,GBMAN,DIM,MAN-ORD,MAN,ORD,DGR,Retail,Clothing,Y,2995.5,Standard handling completed
MAWB108389,AF,2025-02,SG,SGSIN,PRM,SIN-BKK,SIN,BKK,EXP,Pharma,Vaccines,N,496.5,Standard handling completed
MAWB108390,DL,2025-08,FR,FRCDG,DGR,CDG-LAX,CDG,LAX,DGR,Aerospace,Avionics,Y,3049.8,AOG cargo missed connecting flight at hub - expedited rebooking arranged
MAWB108391,CX,2025-05,FR,FRCDG,XPS,CDG-DEL,CDG,DEL,GEN,Automotive,Engine Components,Y,493.7,Cargo mislabelled at origin warehouse - relabelling required for automotive parts
MAWB108392,CX,2025-12,NL,NLAMS,ECO,AMS-FRA,AMS,FRA,DGR,Pharma,Insulin,N,4798.2,
MAWB108393,CX,2025-12,US,USATL,DIM,ATL-LAX,ATL,LAX,EXP,Pharma,Medical Devices,N,3592.5,Carrier substituted - pharma cargo transferred to alternate airline
MAWB108394,SQ,2025-12,SG,SGSIN,XPS,SIN-GRU,SIN,GRU,GEN,Automotive,Engine Components,N,3951.4,Haulier delayed - motorway congestion caused late arrival at freight station
MAWB108395,CX,2025-11,GB,GBMAN,GEN,MAN-ATL,MAN,ATL,GEN,Retail,Clothing,Y,3535.3,Minor damage to outer packaging noted on arrival
MAWB108396,UA,2025-11,SG,SGSIN,GEN,SIN-ORD,SIN,ORD,DGR,Aerospace,Aircraft Parts,N,2969.2,Shipment moved as planned
MAWB108397,EK,2025-03,GB,GBBHX,XPS,BHX-BKK,BHX,BKK,DGR,Perishables,Fish,N,2277.1,
MAWB108398,BA,2025-09,GB,GBBHX,DGR,BHX-LHR,BHX,LHR,DGR,Perishables,Fish,Y,4298.9,
MAWB108399,UA,2025-01,NL,NLAMS,DIM,AMS-BKK,AMS,BKK,GEN,Automotive,Tyres,Y,4786.3,
MAWB108400,AF,2025-10,NL,NLAMS,DIM,AMS-NRT,AMS,NRT,EXP,Pharma,Laboratory Samples,N,2520.2,LAT milestone delayed because truck arrived late
MAWB108401,DL,2025-07,GB,GBBRS,ECO,BRS-SYD,BRS,SYD,DGR,Perishables,Fruit,Y,4661.1,
MAWB108402,LH,2025-02,US,USATL,DGR,ATL-JFK,ATL,JFK,DGR,Automotive,Tyres,Y,2937.5,Customer requested delivery hold - line-side storage not available
MAWB108403,CX,2025-02,GB,GBLHR,ECO,LHR-AMS,LHR,AMS,DGR,Pharma,Vaccines,Y,2715,Minor damage to outer packaging noted on arrival
MAWB108404,AF,2025-05,GB,GBLHR,DGR,LHR-DXB,LHR,DXB,DGR,Automotive,Engine Components,N,2299.7,Shipment processed normally
MAWB108405,DL,2025-04,GB,GBLHR,GEN,LHR-JFK,LHR,JFK,GEN,Retail,Clothing,Y,1086,Shipment moved as planned
MAWB108406,DL,2025-06,US,USATL,XPS,ATL-FRA,ATL,FRA,DGR,Aerospace,Maintenance Kits,Y,68.4,Shipment processed normally
MAWB108407,BA,2025-11,GB,GBLHR,DGR,LHR-CDG,LHR,CDG,DGR,Aerospace,Turbine Components,Y,1245.5,Standard handling completed
MAWB108408,UA,2025-05,GB,GBLHR,DGR,LHR-MEX,LHR,MEX,GEN,Retail,Footwear,Y,2573.1,Standard handling completed
MAWB108409,SQ,2025-04,AE,AEDXB,DGR,DXB-DEL,DXB,DEL,EXP,Retail,Footwear,N,1930.8,No issues reported
MAWB108410,UA,2025-08,NL,NLAMS,ECO,AMS-LHR,AMS,LHR,GEN,Retail,Consumer Electronics,Y,2270,No issues reported
MAWB108411,AF,2025-04,GB,GBLHR,GEN,LHR-GRU,LHR,GRU,EXP,Retail,Homeware,N,4904.2,RCF milestone not updated on time
MAWB108412,LH,2025-01,AE,AEDXB,GEN,DXB-CDG,DXB,CDG,EXP,Retail,Footwear,N,1783.8,Temperature excursion reported for pharma cargo
MAWB108413,AF,2025-08,SG,SGSIN,GEN,SIN-JNB,SIN,JNB,GEN,Automotive,Car Parts,Y,2288.3,Packing list incorrect for tyres shipment - corrected before customs clearance
MAWB108414,AF,2025-05,DE,DEFRA,XPS,FRA-PVG,FRA,PVG,DGR,Perishables,Flowers,Y,710.9,RCF milestone not updated on time
MAWB108415,EK,2025-05,GB,GBBRS,DGR,BRS-NRT,BRS,NRT,EXP,Perishables,Fish,Y,287.4,Refrigerated haulier delayed - road congestion caused late cargo arrival
MAWB108416,EK,2025-03,SG,SGSIN,XPS,SIN-PVG,SIN,PVG,GEN,Retail,Clothing,N,3888.3,Shipment processed normally
MAWB108417,SQ,2025-03,GB,GBBRS,ECO,BRS-ATL,BRS,ATL,DGR,Pharma,Insulin,N,2874.9,
MAWB108418,UA,2025-06,GB,GBBHX,DGR,BHX-AMS,BHX,AMS,DGR,Automotive,Car Parts,N,3815.5,Warehouse handling delay - build up completed late
MAWB108419,UA,2025-09,FR,FRCDG,PRM,CDG-LAX,CDG,LAX,GEN,Automotive,Tyres,N,791.8,Temperature excursion reported for pharma cargo
MAWB108420,AF,2025-10,GB,GBMAN,DIM,MAN-DEL,MAN,DEL,GEN,Automotive,Tyres,Y,2880.6,Standard handling completed
MAWB108421,EK,2025-09,GB,GBLHR,DIM,LHR-LAX,LHR,LAX,GEN,Perishables,Fish,Y,1305.5,
MAWB108422,SQ,2025-07,GB,GBLHR,DGR,LHR-GRU,LHR,GRU,EXP,Retail,Clothing,Y,1178.9,Warehouse handling delay - build up completed late
MAWB108423,LH,2025-09,SG,SGSIN,XPS,SIN-GRU,SIN,GRU,GEN,Pharma,Insulin,N,107.1,Shipment processed normally
MAWB108424,UA,2025-03,US,USATL,DGR,ATL-JNB,ATL,JNB,DGR,Automotive,Car Parts,Y,695.2,Misconnect at hub due to late inbound feeder - JIT delivery at risk
MAWB108425,CX,2025-10,FR,FRCDG,DGR,CDG-PVG,CDG,PVG,GEN,Perishables,Fish,N,1580.9,Shipment processed normally
MAWB108426,BA,2025-11,GB,GBBRS,DIM,BRS-JNB,BRS,JNB,DGR,Automotive,Gearboxes,N,628.5,No issues reported
MAWB108427,EK,2025-01,US,USATL,GEN,ATL-ICN,ATL,ICN,GEN,Perishables,Vegetables,N,4930,
MAWB108428,AF,2025-07,GB,GBBRS,DIM,BRS-JFK,BRS,JFK,DGR,Aerospace,Aircraft Parts,Y,1577.7,
MAWB108429,AF,2025-01,US,USATL,XPS,ATL-JFK,ATL,JFK,EXP,Pharma,Vaccines,Y,695.1,Shipment moved as planned
MAWB108430,LH,2025-03,GB,GBMAN,ECO,MAN-DEL,MAN,DEL,DGR,Retail,Consumer Electronics,N,1035.5,
MAWB108431,LH,2025-04,GB,GBBHX,ECO,BHX-AMS,BHX,AMS,GEN,Retail,Clothing,Y,2959.1,Shipment moved as planned
MAWB108432,CX,2025-01,SG,SGSIN,DIM,SIN-ORD,SIN,ORD,EXP,Retail,Homeware,Y,367,
MAWB108433,UA,2025-09,GB,GBBRS,GEN,BRS-SYD,BRS,SYD,EXP,Pharma,Laboratory Samples,Y,4319,No issues reported
MAWB108434,AF,2025-11,GB,GBLHR,XPS,LHR-ATL,LHR,ATL,EXP,Aerospace,Aircraft Parts,N,4809.4,
MAWB108435,DL,2025-02,GB,GBMAN,DIM,MAN-JFK,MAN,JFK,DGR,Retail,Footwear,N,1271.4,Shipment moved as planned
MAWB108436,BA,2025-06,SG,SGSIN,ECO,SIN-JNB,SIN,JNB,GEN,Retail,Clothing,Y,2278,
MAWB108437,BA,2025-08,FR,FRCDG,PRM,CDG-AMS,CDG,AMS,DGR,Retail,Homeware,Y,159.6,Standard handling completed
MAWB108438,EK,2025-08,US,USATL,XPS,ATL-AMS,ATL,AMS,DGR,Perishables,Vegetables,N,3221.5,No issues reported
MAWB108439,CX,2025-08,AE,AEDXB,ECO,DXB-CDG,DXB,CDG,EXP,Retail,Consumer Electronics,N,2098.9,Standard handling completed
MAWB108440,EK,2025-06,AE,AEDXB,DIM,DXB-SYD,DXB,SYD,DGR,Perishables,Fish,N,1386.8,Shipment moved as planned
MAWB108441,LH,2025-05,GB,GBMAN,XPS,MAN-CDG,MAN,CDG,DGR,Automotive,Car Parts,N,1073.8,Offloaded due to capacity constraints - moved to next flight
MAWB108442,UA,2025-02,AE,AEDXB,DGR,DXB-NRT,DXB,NRT,DGR,Perishables,Flowers,N,3287.4,
MAWB108443,UA,2025-12,GB,GBBHX,ECO,BHX-SYD,BHX,SYD,EXP,Aerospace,Maintenance Kits,Y,2110.3,Dangerous goods paperwork incorrect
MAWB108444,AF,2025-09,GB,GBBRS,GEN,BRS-GRU,BRS,GRU,DGR,Automotive,Engine Components,N,939.3,Standard handling completed
MAWB108445,EK,2025-02,GB,GBBHX,ECO,BHX-DEL,BHX,DEL,GEN,Pharma,Vaccines,Y,3461.1,
MAWB108446,DL,2025-05,GB,GBMAN,PRM,MAN-ORD,MAN,ORD,GEN,Aerospace,Avionics,Y,2847.1,Shipment moved as planned
MAWB108447,CX,2025-04,FR,FRCDG,ECO,CDG-LHR,CDG,LHR,DGR,Aerospace,Maintenance Kits,Y,4300.4,Standard handling completed
MAWB108448,LH,2025-04,US,USATL,DIM,ATL-SIN,ATL,SIN,GEN,Pharma,Medical Devices,Y,631.5,
MAWB108449,LH,2025-01,SG,SGSIN,DGR,SIN-PVG,SIN,PVG,EXP,Retail,Consumer Electronics,Y,3939,Shipment moved as planned
MAWB108450,SQ,2025-04,SG,SGSIN,ECO,SIN-FRA,SIN,FRA,GEN,Automotive,Car Parts,Y,3383.9,
MAWB108451,AF,2025-04,GB,GBLHR,DIM,LHR-FRA,LHR,FRA,DGR,Perishables,Flowers,N,619.3,Shipment moved as planned
MAWB108452,DL,2025-04,GB,GBLHR,DGR,LHR-DEL,LHR,DEL,GEN,Perishables,Fruit,N,3489.4,Incorrect AWB details corrected before departure
MAWB108453,BA,2025-06,AE,AEDXB,DIM,DXB-SIN,DXB,SIN,GEN,Retail,Consumer Electronics,N,2235.7,Standard handling completed
MAWB108454,SQ,2025-02,DE,DEFRA,DIM,FRA-DXB,FRA,DXB,EXP,Automotive,Engine Components,N,4727.7,No issues reported
MAWB108455,UA,2025-05,SG,SGSIN,DIM,SIN-SYD,SIN,SYD,GEN,Automotive,Gearboxes,Y,751,Shipper delayed cargo handover - JIT production line at risk
MAWB108456,DL,2025-04,SG,SGSIN,XPS,SIN-HKG,SIN,HKG,GEN,Pharma,Laboratory Samples,Y,3232,Warehouse handling delay - build up completed late
MAWB108457,CX,2025-04,GB,GBLHR,XPS,LHR-ICN,LHR,ICN,DGR,Pharma,Laboratory Samples,N,1940.8,No issues reported
MAWB108458,UA,2025-05,GB,GBBRS,DGR,BRS-CDG,BRS,CDG,DGR,Retail,Footwear,Y,4786.2,Shipment processed normally
MAWB108459,LH,2025-08,SG,SGSIN,GEN,SIN-ICN,SIN,ICN,DGR,Aerospace,Avionics,Y,1683.4,Standard handling completed
MAWB108460,SQ,2025-11,NL,NLAMS,DIM,AMS-SIN,AMS,SIN,EXP,Perishables,Flowers,N,4812.8,No issues reported
MAWB108461,CX,2025-09,GB,GBLHR,XPS,LHR-ICN,LHR,ICN,GEN,Retail,Homeware,Y,4512.4,
MAWB108462,DL,2025-09,NL,NLAMS,GEN,AMS-JFK,AMS,JFK,EXP,Aerospace,Maintenance Kits,N,1388.4,
MAWB108463,UA,2025-07,US,USATL,ECO,ATL-JFK,ATL,JFK,EXP,Perishables,Flowers,Y,4027.5,Incorrect AWB details corrected before departure
MAWB108464,SQ,2025-06,NL,NLAMS,XPS,AMS-HKG,AMS,HKG,GEN,Aerospace,Turbine Components,Y,4978.2,Customer requested delivery change after ARR
MAWB108465,DL,2025-05,AE,AEDXB,GEN,DXB-MEX,DXB,MEX,EXP,Retail,Footwear,Y,1300.7,
MAWB108466,CX,2025-07,GB,GBMAN,DGR,MAN-GRU,MAN,GRU,EXP,Aerospace,Turbine Components,N,2212,Customs hold at destination - awaiting clearance
MAWB108467,EK,2025-06,GB,GBLHR,ECO,LHR-ORD,LHR,ORD,DGR,Retail,Consumer Electronics,Y,2624.9,Shipment moved as planned
MAWB108468,DL,2025-10,GB,GBLHR,DGR,LHR-LAX,LHR,LAX,EXP,Retail,Clothing,Y,1509.9,Shipment processed normally
MAWB108469,CX,2025-03,SG,SGSIN,DGR,SIN-LAX,SIN,LAX,EXP,Retail,Homeware,N,125.6,FWB docs missing - reissued before departure
MAWB108470,UA,2025-10,GB,GBBRS,ECO,BRS-HKG,BRS,HKG,GEN,Automotive,Tyres,N,1139.6,Shipment moved as planned
MAWB108471,SQ,2025-09,NL,NLAMS,ECO,AMS-DEL,AMS,DEL,GEN,Aerospace,Avionics,N,1445.6,Shipment processed normally
MAWB108472,AF,2025-08,SG,SGSIN,ECO,SIN-SYD,SIN,SYD,DGR,Pharma,Laboratory Samples,N,2245.8,No issues reported
MAWB108473,LH,2025-12,AE,AEDXB,ECO,DXB-ATL,DXB,ATL,EXP,Retail,Footwear,Y,897,Minor damage to outer packaging noted on arrival
MAWB108474,EK,2025-09,NL,NLAMS,PRM,AMS-DXB,AMS,DXB,EXP,Retail,Homeware,N,4372.6,
MAWB108475,BA,2025-08,NL,NLAMS,DIM,AMS-NRT,AMS,NRT,GEN,Pharma,Insulin,Y,3539.3,Warehouse handling delay - build up completed late
MAWB108476,SQ,2025-03,SG,SGSIN,DGR,SIN-FRA,SIN,FRA,GEN,Aerospace,Aircraft Parts,Y,471.7,"Cargo arrived late at warehouse, truck delay"
MAWB108477,BA,2025-05,NL,NLAMS,ECO,AMS-MEX,AMS,MEX,GEN,Automotive,Tyres,Y,3268,Customer requested delivery change after ARR
MAWB108478,SQ,2025-08,US,USATL,DIM,ATL-LHR,ATL,LHR,GEN,Perishables,Fruit,N,3285.6,Fish supplier delayed cargo handover - fresh produce at risk
MAWB108479,AF,2025-06,NL,NLAMS,DIM,AMS-BKK,AMS,BKK,GEN,Retail,Clothing,Y,4783.3,
MAWB108480,EK,2025-11,NL,NLAMS,ECO,AMS-ICN,AMS,ICN,EXP,Aerospace,Avionics,N,65,No issues reported
MAWB108481,LH,2025-03,DE,DEFRA,GEN,FRA-HKG,FRA,HKG,EXP,Automotive,Engine Components,N,1277.3,Shipment processed normally
MAWB108482,SQ,2025-09,FR,FRCDG,GEN,CDG-ORD,CDG,ORD,DGR,Pharma,Vaccines,N,4642.6,Flight delay due to weather at origin
MAWB108483,AF,2025-06,SG,SGSIN,DGR,SIN-PVG,SIN,PVG,DGR,Automotive,Car Parts,Y,4664.1,Standard handling completed
MAWB108484,LH,2025-03,GB,GBMAN,PRM,MAN-PVG,MAN,PVG,GEN,Perishables,Vegetables,N,3616.9,Standard handling completed
MAWB108485,CX,2025-01,GB,GBLHR,GEN,LHR-NRT,LHR,NRT,GEN,Aerospace,Turbine Components,Y,3840.5,No issues reported
MAWB108486,UA,2025-02,GB,GBBRS,DGR,BRS-LHR,BRS,LHR,DGR,Aerospace,Turbine Components,Y,502.8,
MAWB108487,BA,2025-08,AE,AEDXB,DIM,DXB-HKG,DXB,HKG,GEN,Retail,Homeware,Y,2593.7,Shipment held due to missing invoice & packing list
MAWB108488,UA,2025-09,NL,NLAMS,XPS,AMS-DEL,AMS,DEL,EXP,Perishables,Vegetables,N,1196.3,
MAWB108489,UA,2025-03,US,USATL,GEN,ATL-CDG,ATL,CDG,EXP,Pharma,Laboratory Samples,Y,947,Aircraft change - pharmaceutical cargo rebooked to maintain cold chain
MAWB108490,SQ,2025-08,AE,AEDXB,PRM,DXB-HKG,DXB,HKG,GEN,Perishables,Fish,Y,4061,Grower delivered flowers late - missed acceptance cut-off
MAWB108491,DL,2025-10,GB,GBLHR,PRM,LHR-CDG,LHR,CDG,GEN,Automotive,Car Parts,N,718.4,Standard handling completed
MAWB108492,LH,2025-08,GB,GBBRS,ECO,BRS-LAX,BRS,LAX,EXP,Retail,Consumer Electronics,Y,2369.8,"Cargo arrived late at warehouse, truck delay"
MAWB108493,DL,2025-04,DE,DEFRA,DGR,FRA-NRT,FRA,NRT,GEN,Automotive,Engine Components,Y,4696,Flight delay due to weather at origin
MAWB108494,BA,2025-07,SG,SGSIN,PRM,SIN-NRT,SIN,NRT,DGR,Perishables,Fruit,N,969.9,
MAWB108495,EK,2025-01,DE,DEFRA,ECO,FRA-BKK,FRA,BKK,GEN,Aerospace,Maintenance Kits,Y,4891.1,No issues reported
MAWB108496,AF,2025-12,GB,GBBHX,GEN,BHX-PVG,BHX,PVG,DGR,Automotive,Gearboxes,Y,4971.7,Shipment processed normally
MAWB108497,DL,2025-06,GB,GBBHX,PRM,BHX-SYD,BHX,SYD,GEN,Perishables,Vegetables,N,2800.3,FWB docs missing - reissued before departure
MAWB108498,EK,2025-10,FR,FRCDG,XPS,CDG-FRA,CDG,FRA,GEN,Automotive,Car Parts,N,892.2,Airline equipment change - heavy automotive cargo offloaded due to weight
MAWB108499,EK,2025-05,GB,GBBHX,PRM,BHX-HKG,BHX,HKG,GEN,Automotive,Engine Components,Y,1614.7,Shipment moved as planned
MAWB108500,SQ,2025-05,GB,GBBHX,PRM,BHX-JFK,BHX,JFK,DGR,Pharma,Insulin,N,2151.2,
MAWB108501,CX,2025-01,NL,NLAMS,ECO,AMS-BKK,AMS,BKK,DGR,Perishables,Fruit,N,1581.2,LAT milestone delayed because truck arrived late
MAWB108502,CX,2025-09,GB,GBBHX,PRM,BHX-HKG,BHX,HKG,GEN,Aerospace,Turbine Components,Y,1439.1,AOG cargo missed connecting flight at hub - expedited rebooking arranged
MAWB108503,AF,2025-05,AE,AEDXB,DIM,DXB-LHR,DXB,LHR,EXP,Automotive,Gearboxes,Y,4862.5,
MAWB108504,CX,2025-10,SG,SGSIN,XPS,SIN-GRU,SIN,GRU,GEN,Perishables,Fruit,N,809.2,Shipment processed normally
MAWB108505,BA,2025-01,FR,FRCDG,GEN,CDG-HKG,CDG,HKG,EXP,Aerospace,Turbine Components,N,3680,Airworthiness release certificate missing - document chase with MRO supplier
MAWB108506,LH,2025-03,US,USATL,XPS,ATL-MEX,ATL,MEX,GEN,Aerospace,Aircraft Parts,N,52,Warehouse handling delay - build up completed late
MAWB108507,DL,2025-12,GB,GBMAN,DGR,MAN-SYD,MAN,SYD,GEN,Perishables,Flowers,Y,3001.1,Shipment processed normally
MAWB108508,UA,2025-12,GB,GBBRS,PRM,BRS-DEL,BRS,DEL,GEN,Retail,Clothing,N,4583.9,Standard handling completed
MAWB108509,DL,2025-01,SG,SGSIN,XPS,SIN-MEX,SIN,MEX,DGR,Perishables,Flowers,Y,1475.3,Shipment moved as planned
MAWB108510,CX,2025-12,GB,GBLHR,DGR,LHR-BKK,LHR,BKK,EXP,Aerospace,Maintenance Kits,Y,968.4,
MAWB108511,SQ,2025-06,US,USATL,DGR,ATL-DEL,ATL,DEL,EXP,Aerospace,Avionics,Y,3275.8,Standard handling completed
MAWB108512,CX,2025-03,DE,DEFRA,PRM,FRA-ORD,FRA,ORD,EXP,Perishables,Flowers,Y,3577.4,Dangerous goods paperwork incorrect
MAWB108513,EK,2025-01,SG,SGSIN,XPS,SIN-BKK,SIN,BKK,EXP,Pharma,Insulin,N,3455.8,Customs hold at destination - awaiting clearance
MAWB108514,LH,2025-05,US,USATL,DIM,ATL-ORD,ATL,ORD,EXP,Retail,Footwear,Y,1630.6,Shipment moved as planned
MAWB108515,LH,2025-07,GB,GBMAN,DIM,MAN-DXB,MAN,DXB,EXP,Pharma,Medical Devices,Y,1298.4,
MAWB108516,SQ,2025-08,US,USATL,XPS,ATL-PVG,ATL,PVG,GEN,Aerospace,Aircraft Parts,N,4781.8,
MAWB108517,CX,2025-10,GB,GBBRS,DIM,BRS-SIN,BRS,SIN,DGR,Retail,Homeware,Y,4620.3,Shipment moved as planned
MAWB108518,DL,2025-10,FR,FRCDG,GEN,CDG-PVG,CDG,PVG,GEN,Retail,Footwear,Y,2313.7,No issues reported
MAWB108519,BA,2025-09,GB,GBMAN,ECO,MAN-FRA,MAN,FRA,GEN,Aerospace,Maintenance Kits,N,4238.7,Shipment moved as planned
MAWB108520,SQ,2025-01,FR,FRCDG,XPS,CDG-PVG,CDG,PVG,GEN,Pharma,Insulin,Y,2289,No issues reported
MAWB108521,DL,2025-07,AE,AEDXB,XPS,DXB-JNB,DXB,JNB,GEN,Retail,Clothing,N,2150.7,Security screening issue / additional xray required
MAWB108522,DL,2025-05,GB,GBBHX,ECO,BHX-CDG,BHX,CDG,DGR,Perishables,Vegetables,N,826,Shipment moved as planned
MAWB108523,AF,2025-05,AE,AEDXB,DGR,DXB-LHR,DXB,LHR,EXP,Retail,Footwear,Y,2160.7,No issues reported
MAWB108524,BA,2025-09,DE,DEFRA,DGR,FRA-BKK,FRA,BKK,DGR,Retail,Homeware,N,2710.2,
MAWB108525,BA,2025-09,FR,FRCDG,ECO,CDG-HKG,CDG,HKG,GEN,Retail,Footwear,N,161.4,Dangerous goods paperwork incorrect
MAWB108526,DL,2025-10,GB,GBMAN,DIM,MAN-CDG,MAN,CDG,DGR,Perishables,Flowers,N,2248.4,Standard handling completed
MAWB108527,AF,2025-05,US,USATL,ECO,ATL-PVG,ATL,PVG,DGR,Perishables,Vegetables,Y,3917.7,Phytosanitary inspection triggered at destination for fresh produce
MAWB108528,LH,2025-11,GB,GBBRS,DIM,BRS-ORD,BRS,ORD,GEN,Perishables,Flowers,Y,3416.2,Perishable cargo split across multiple ULDs - shelf-life documentation updated
MAWB108529,SQ,2025-04,NL,NLAMS,ECO,AMS-LAX,AMS,LAX,EXP,Automotive,Engine Components,N,3194,No issues reported
MAWB108530,SQ,2025-08,NL,NLAMS,GEN,AMS-DEL,AMS,DEL,GEN,Automotive,Gearboxes,N,4552.3,Shipment held due to missing invoice & packing list
MAWB108531,LH,2025-11,GB,GBBRS,PRM,BRS-BKK,BRS,BKK,EXP,Automotive,Car Parts,Y,139.3,No issues reported
MAWB108532,AF,2025-10,GB,GBBHX,PRM,BHX-ATL,BHX,ATL,GEN,Automotive,Engine Components,Y,2807.4,No issues reported
